fed_sub,excess_deaths
Алтайский край,697
Амурская область,129
Архангельская область без АО,448
Астраханская область,65
Белгородская область,359
Брянская область,261
Владимирская область,204
Волгоградская область,162
Вологодская область,44
Воронежская область,302
Еврейская АО,40
Забайкальский край,247
Ивановская область,222
Иркутская область,711
Кабардино-Балкария,345
Калининградская область,278
Калужская область,210
Камчатский край,44
Карачаево-Черкесия,224
Кемеровская область,314
Кировская область,397
Костромская область,41
Краснодарский край,2654
Красноярский край,1092
Курганская область,135
Курская область,431
Ленинградская область,458
Липецкая область,155
Магаданская область,19
Москва,2252
Московская область,1659
Мурманская область,42
Ненецкий АО,11
Нижегородская область,330
Новгородская область,0
Новосибирская область,632
Омская область,308
Оренбургская область,85
Орловская область,310
Пензенская область,112
Пермский край,139
Приморский край,903
Псковская область,56
Республика Адыгея,398
Республика Алтай,52
Республика Башкортостан,0
Республика Бурятия,422
Республика Дагестан,808
Республика Ингушетия,89
Республика Калмыкия,62
Республика Карелия,243
Республика Коми,144
Республика Крым,673
Республика Марий Эл,117
Республика Мордовия,222
Республика Татарстан,132
Республика Тыва,0
Республика Хакасия,152
Ростовская область,1514
Рязанская область,80
Самарская область,213
Санкт-Петербург,1134
Саратовская область,291
Сахалинская область,159
Свердловская область,427
Севастополь,142
Северная Осетия,363
Смоленская область,101
Ставропольский край,898
Тамбовская область,321
Тверская область,357
Томская область,86
Тульская область,370
Тюменская область без АО,67
Удмуртская Республика,32
Ульяновская область,172
Хабаровский край,263
Ханты-Мансийский АО,49
Челябинская область,87
Чеченская Республика,369
Чувашская Республика,86
Чукотский АО,0
Якутия,86
Ямало-Hенецкий АО,5
Ярославская область,352
